timestamp,region,service_type,usage_units,provisioned_capacity,cost_usd,availability_pct,cloud_spend_index,enterprise_demand_index,new_service_launch
2023-01-22 07:54:20,Us-East,Storage,10353.25,8000,,99.73,103.94,1.33,0
2023-02-03 02:18:37,us-west,Compute,8569.97,10000,4113.58,99.89,95.96,0.91,0
2023-11-05 15:53:08,us-west,Storage,6759.68,8000,2163.1,99.4,129.55,1.1,0
2023-03-21 08:48:50,europe-north,Compute,12453.02,10000,5977.45,99.91,113.12,0.98,0
2023-10-20 22:02:11,india south,Compute,6000.81,10000,2880.39,99.55,108.28,1.0,0
2024-03-21 08:07:41,us-east,Storage,7352.42,8000,2352.77,99.31,97.9,0.97,0
2023-06-27 08:41:43,europe north,Compute,10813.94,10000,5190.69,99.52,118.09,1.06,0
2023-06-29 10:53:53,europe-north,Compute,9150.55,10000,4392.26,99.59,101.56,0.99,0
2023-09-12 22:50:34,us west,Compute,,10000,3917.22,99.78,116.33,1.1,0
2023-01-30 12:51:39,us-east,Compute,11282.79,10000,5415.74,99.55,118.04,1.01,0
2023-06-03 16:38:28,india-south,Storage,10181.32,8000,3258.02,,102.06,1.33,0
2023-10-24 16:43:57,India-South,Compute,7137.95,10000,3426.21,99.8,116.94,1.0,0
2023-11-05 09:07:56,India-South,Compute,8805.64,10000,4226.71,99.41,108.04,1.34,0
2024-03-12 08:17:44,Europe-North,Storage,13606.74,8000,4354.16,,123.13,1.29,0
2023-06-05 01:46:54,India-South,Compute,11959.37,10000,5740.5,99.47,92.76,1.35,0
2023-08-03 08:17:32,us east,Storage,6644.39,8000,2126.2,99.62,124.87,1.06,0
2023-09-15 21:02:36,us-west,Storage,4907.21,8000,1570.31,99.35,122.44,0.85,0
2023-10-11 05:07:04,europe north,Compute,6027.62,10000,2893.26,99.49,94.35,1.08,0
2023-11-07 04:07:49,us east,Compute,5233.38,10000,2512.02,,100.85,0.86,0
2023-11-26 17:30:23,Us-East,Compute,6331.47,10000,3039.1,99.9,95.44,0.89,1
2023-12-06 20:19:32,India-South,Storage,6421.52,8000,,99.3,126.1,0.89,0
2024-03-19 14:02:15,India-South,Storage,9738.95,8000,3116.46,99.42,,1.19,0
2023-11-23 15:13:13,us-east,Compute,10944.03,10000,5253.13,99.4,129.19,1.25,0
2023-08-28 17:41:11,us-east,Storage,3742.02,8000,1197.45,,94.07,0.8,0
2023-02-28 20:47:32,india-south,Compute,14855.12,10000,7130.46,99.97,126.99,1.06,0
2023-05-19 08:15:09,us west,Storage,6489.59,8000,2076.67,99.31,96.42,0.88,0
2024-02-28 23:19:03,europe-north,Storage,7117.25,8000,2277.52,,120.95,0.78,0
2024-01-13 01:28:57,india south,Compute,13250.22,10000,6360.11,99.83,112.01,,0
2023-03-15 06:48:19,Europe-North,Storage,14158.09,8000,4530.59,99.6,116.66,1.27,1
2024-03-25 15:34:00,Us-East,Storage,9201.08,8000,2944.34,99.96,103.62,1.04,0
2024-02-04 17:23:07,Us-East,Storage,10993.82,8000,3518.02,99.51,120.99,1.19,0
2024-01-12 09:29:18,US-West,Storage,10020.95,8000,,99.56,105.84,1.32,1
2023-12-29 13:09:41,India-South,Compute,7982.81,10000,3831.75,99.5,98.62,0.99,0
2024-03-22 01:03:05,europe north,Compute,10503.93,10000,,99.31,109.91,0.91,0
2023-08-12 12:34:26,Europe-North,Storage,5772.76,8000,1847.28,99.41,109.46,1.05,0
2023-03-17 03:36:40,india south,Compute,10938.87,10000,5250.66,99.76,110.97,0.91,0
2023-09-08 10:54:13,India-South,Compute,8173.75,10000,3923.4,99.38,118.77,1.05,1
2023-11-29 15:01:38,us-west,Storage,6651.21,8000,2128.39,99.87,119.68,1.09,0
2023-11-01 00:25:36,India-South,Compute,6977.01,10000,3348.96,99.34,112.45,0.89,0
2023-03-05 22:48:02,india-south,Compute,9966.47,10000,4783.91,99.85,124.02,0.78,0
2024-03-30 01:52:32,europe-north,Storage,7802.78,8000,2496.89,99.56,105.75,0.86,0
2024-01-02 07:37:02,us-west,Compute,9806.96,10000,4707.34,99.33,90.21,1.19,0
2024-02-11 10:32:10,india-south,Storage,6534.16,8000,2090.93,99.8,105.18,0.85,0
2024-02-24 00:54:04,India-South,Storage,8463.78,8000,2708.41,99.32,110.14,0.95,0
2023-11-08 18:25:39,europe north,Compute,5789.22,10000,2778.83,99.37,99.24,0.99,0
2023-08-18 08:14:18,US-West,Storage,5624.84,8000,1799.95,99.39,117.8,1.02,0
2024-01-19 07:53:09,europe north,Compute,10549.62,10000,5063.82,99.5,96.67,1.1,0
2024-02-12 17:14:03,Europe-North,Compute,8734.06,10000,4192.35,99.41,95.69,0.83,1
2023-01-08 16:16:07,us east,Storage,8621.92,8000,2759.01,99.55,122.91,0.97,0
2023-01-18 20:21:32,India-South,Storage,11073.23,8000,3543.43,99.93,112.17,1.32,1
2023-06-16 11:40:23,us east,Compute,8217.4,10000,3944.35,99.54,97.27,0.85,0
2024-03-12 14:02:44,us-east,Storage,10157.25,8000,3250.32,99.42,129.86,0.89,0
2023-01-11 21:49:02,us west,Compute,12375.29,10000,5940.14,99.45,104.28,,0
2023-03-16 04:40:11,us-east,Storage,8627.11,8000,2760.67,99.43,98.46,1.12,0
2023-01-23 20:15:14,europe-north,Storage,11090.85,8000,3549.07,99.97,116.8,1.23,0
2023-09-07 23:24:47,india-south,Compute,8920.08,10000,4281.64,99.97,126.82,1.1,0
2023-04-20 04:31:48,us west,Storage,10518.48,8000,3365.91,99.37,116.68,1.02,1
2023-01-23 19:30:09,india south,Compute,7428.37,10000,3565.62,99.45,101.39,0.78,0
2024-03-30 18:25:09,india-south,Compute,14645.86,10000,7030.01,99.76,97.25,1.35,0
2023-03-12 22:45:51,Europe-North,Compute,14035.99,10000,6737.28,99.35,107.76,1.21,0
2024-02-03 01:59:47,europe-north,Compute,6774.33,10000,3251.68,99.61,92.08,,0
2023-09-14 04:50:11,us west,Compute,8358.23,10000,4011.95,99.88,128.57,0.91,1
2023-03-01 03:45:17,europe-north,Storage,6412.94,8000,,99.52,97.32,0.81,0
2023-10-28 01:20:31,Europe-North,Compute,5923.85,10000,2843.45,99.84,98.5,1.03,0
2024-03-21 03:56:03,Us-East,Compute,16012.85,10000,7686.17,99.53,120.1,1.16,0
2023-01-08 01:58:37,india-south,Compute,12318.57,10000,5912.91,99.51,108.87,1.27,0
2023-03-15 23:34:10,us east,Compute,13994.19,10000,6717.21,99.71,114.16,1.15,0
2024-02-01 05:50:09,us-east,Compute,10196.02,10000,4894.09,99.87,119.1,0.84,0
2023-07-21 12:36:36,us-east,Compute,11516.26,10000,5527.81,99.71,118.38,1.12,1
2023-02-14 20:43:48,us-east,Storage,9671.99,8000,3095.04,99.39,117.13,1.03,0
2023-01-30 18:14:32,europe north,Storage,,8000,2570.88,99.65,,0.99,1
2023-04-10 19:41:33,us east,Compute,10463.52,10000,5022.49,99.4,95.31,0.93,1
2024-03-18 16:58:47,india south,Storage,7002.93,8000,2240.94,99.73,101.15,0.86,0
2023-03-09 15:23:48,us-west,Compute,15244.42,10000,7317.32,99.85,,1.12,1
2023-11-09 15:21:53,India-South,Storage,5825.55,8000,1864.18,99.44,109.26,1.15,0
2023-12-21 14:55:21,india south,Compute,9193.73,10000,4412.99,99.98,117.64,0.83,1
2024-02-25 04:20:43,us-west,Storage,9568.79,8000,,99.46,111.79,1.04,0
2023-12-01 08:06:09,us west,Storage,8333.52,8000,2666.73,99.36,129.86,1.08,0
2023-12-15 21:25:11,India-South,Compute,8353.13,10000,4009.5,99.42,102.23,1.0,0
2023-07-12 14:23:31,india south,Storage,4797.17,8000,1535.09,99.75,91.76,,0
2023-02-20 09:15:22,us east,Compute,13119.0,10000,6297.12,99.68,125.8,1.04,0
2023-12-20 22:57:37,us-east,Compute,9933.93,10000,4768.29,99.91,92.39,1.28,0
2023-10-23 07:26:42,Europe-North,Storage,5226.54,8000,1672.49,99.83,113.57,0.92,0
2023-06-01 00:40:46,europe-north,Compute,9030.65,10000,4334.71,99.71,95.41,0.97,0
2024-02-28 01:41:01,Europe-North,Storage,13564.47,8000,,99.56,125.7,1.21,1
2023-09-24 23:14:18,US-West,Compute,7960.22,10000,3820.91,99.81,110.65,1.02,1
2023-06-13 02:32:00,india south,Storage,9425.55,8000,3016.18,99.8,,1.11,0
2023-11-07 05:58:01,Us-East,Storage,5986.91,8000,1915.81,,116.62,1.14,0
2023-11-30 08:16:35,US-West,Storage,4984.42,8000,1595.01,99.66,109.82,0.9,0
2023-02-20 22:25:34,Us-East,Compute,11780.78,10000,5654.77,99.88,102.12,1.05,0
2023-09-13 17:57:18,us west,Storage,,8000,1986.22,99.65,123.85,0.98,0
2024-02-17 14:33:12,US-West,Storage,10947.86,8000,3503.31,99.35,91.25,1.33,1
2024-03-05 17:05:33,Europe-North,Storage,7302.52,8000,2336.81,99.46,104.4,0.81,0
2023-08-06 19:54:50,US-West,Storage,5516.83,8000,1765.38,99.32,107.65,1.05,0
2023-05-26 15:55:04,india-south,Storage,9067.85,8000,2901.71,99.86,120.32,1.06,0
2023-05-31 01:44:28,europe north,Compute,11936.34,10000,5729.44,99.47,124.25,0.94,0
2023-11-17 00:53:54,Us-East,Storage,4387.49,8000,1404.0,99.64,107.45,0.87,0
2023-01-23 16:01:11,India-South,Storage,13475.06,8000,,99.58,127.77,1.3,1
2024-02-12 01:58:17,India-South,Compute,12029.97,10000,5774.39,99.76,98.97,1.2,0
2024-02-06 15:14:15,us west,Compute,12063.88,10000,5790.66,99.45,96.43,1.28,0
2023-05-26 23:44:37,us-west,Compute,12585.33,10000,6040.96,99.52,91.18,1.34,0
2023-01-11 07:37:13,india-south,Compute,8671.91,10000,4162.51,99.87,95.8,0.98,0
2023-11-10 05:22:49,india-south,Compute,7296.9,10000,3502.51,99.94,121.93,0.83,1
2023-10-04 13:29:35,us east,Compute,5187.97,10000,2490.23,99.8,104.7,0.85,0
2023-08-22 13:01:17,us west,Compute,5094.66,10000,2445.44,99.79,111.26,0.79,0
2023-09-01 08:34:46,india-south,Compute,8866.84,10000,,99.95,116.73,,1
2023-08-30 06:50:47,Europe-North,Storage,,8000,1456.61,99.36,114.17,0.79,0
2023-01-07 13:16:36,india-south,Compute,11601.56,10000,5568.75,99.47,126.83,1.04,0
2023-04-14 16:47:31,Us-East,Storage,12032.33,8000,3850.34,99.83,104.66,1.32,1
2023-05-27 15:37:13,Us-East,Compute,9929.79,10000,4766.3,99.32,90.79,0.94,1
2023-01-26 01:21:16,india-south,Storage,11163.06,8000,3572.18,99.62,105.7,1.32,1
2023-08-20 10:31:32,us-west,Storage,6697.27,8000,2143.13,99.49,119.77,1.22,0
2023-07-28 17:03:58,Us-East,Storage,7147.65,8000,2287.25,99.87,104.12,1.13,0
2024-01-30 15:52:26,Us-East,Storage,6449.17,8000,2063.73,99.85,108.45,0.82,0
2023-01-13 20:45:10,us-west,Storage,10128.37,8000,3241.08,99.54,116.65,,0
2023-05-03 17:39:34,india south,Compute,11042.43,10000,,99.49,122.83,0.87,0
2023-02-22 15:45:27,India-South,Storage,7952.46,8000,2544.79,99.59,119.03,0.8,0
2023-01-18 07:07:55,Us-East,Storage,5666.95,8000,1813.42,99.39,101.09,0.75,1
2023-04-02 07:56:30,europe north,Storage,12067.54,8000,3861.61,99.52,124.58,1.17,0
2023-03-10 17:27:21,us west,Compute,11588.36,10000,5562.41,99.66,110.64,1.0,0
2024-01-16 03:35:23,US-West,Compute,11228.72,10000,5389.78,99.33,90.59,1.28,0
2023-10-18 12:07:39,india south,Storage,3087.38,8000,987.96,99.42,90.78,0.82,0
2023-02-28 21:49:44,us west,Storage,7652.89,8000,2448.92,99.65,,0.82,0
2023-11-24 20:54:13,europe-north,Compute,8376.48,10000,4020.71,99.91,100.23,1.22,0
2024-03-27 23:03:56,us-west,Compute,13677.39,10000,6565.15,99.34,,1.16,0
2024-01-31 18:01:54,europe north,Compute,,10000,4713.74,99.94,119.1,0.8,0
2024-03-21 02:49:46,india south,Storage,13933.1,8000,4458.59,99.34,124.17,1.35,0
2023-04-27 18:16:01,Us-East,Storage,7802.86,8000,2496.92,99.46,105.42,0.84,0
2023-10-01 19:55:42,india-south,Storage,5130.58,8000,1641.79,99.47,112.46,1.04,0
2023-10-29 10:27:22,us west,Compute,7375.63,10000,3540.3,99.62,95.88,1.21,0
2023-08-11 21:49:58,India-South,Storage,6287.12,8000,2011.88,99.91,105.25,1.05,1
2023-02-25 00:13:40,Europe-North,Storage,11055.07,8000,3537.62,99.78,126.9,1.01,0
2023-10-04 17:57:50,Us-East,Compute,9687.04,10000,4649.78,99.78,114.92,1.21,1
2023-11-21 18:18:37,US-West,Storage,5180.92,8000,1657.89,99.68,100.46,1.05,0
2023-01-17 13:34:23,us west,Compute,8770.41,10000,4209.8,99.6,118.17,0.77,0
2023-12-21 11:14:37,us-east,Storage,5707.22,8000,1826.31,99.73,104.96,0.91,0
2023-02-05 09:36:52,Europe-North,Storage,7775.66,8000,2488.21,99.57,126.59,0.79,0
2023-01-13 04:15:27,us west,Compute,9409.73,10000,4516.67,99.67,111.91,0.95,0
2023-12-08 20:00:47,India-South,Storage,,8000,2838.84,99.43,108.65,1.33,1
2023-01-29 06:29:23,europe north,Storage,9501.21,8000,3040.39,99.8,93.59,1.28,1
2023-01-01 23:13:13,us-west,Storage,9614.94,8000,3076.78,99.57,128.61,1.17,0
2023-10-06 13:15:04,us east,Storage,7878.83,8000,2521.22,99.4,127.85,1.33,1
2023-11-22 02:50:48,Us-East,Storage,4178.5,8000,1337.12,99.96,94.58,0.76,0
2024-03-12 12:38:59,india south,Compute,11446.42,10000,5494.28,99.95,104.66,1.01,0
2023-09-21 12:35:25,Us-East,Storage,3955.62,8000,1265.8,,100.51,0.89,0
2023-01-08 05:10:20,us-east,Compute,9103.45,10000,4369.66,99.82,113.3,0.79,1
2023-04-24 12:43:01,india south,Storage,12963.68,8000,4148.38,99.72,113.82,1.18,1
2023-10-05 13:01:46,us-west,Compute,6546.84,10000,3142.48,99.37,106.25,1.12,0
2023-05-20 08:12:05,us west,Storage,7357.55,8000,2354.42,99.74,94.97,0.97,1
2023-05-12 15:12:46,india-south,Compute,11798.99,10000,5663.51,99.43,115.67,0.97,0
2023-09-17 07:15:46,us west,Compute,4711.24,10000,2261.4,99.32,90.69,0.76,1
2023-05-10 14:30:36,US-West,Compute,18923.37,10000,9083.22,99.55,128.27,1.32,1
2023-02-21 18:39:43,Us-East,Storage,10989.87,8000,3516.76,99.45,129.18,0.96,1
2023-03-20 00:44:59,europe-north,Storage,10851.98,8000,3472.63,99.39,118.19,1.16,0
2024-02-11 12:10:44,us west,Storage,7931.59,8000,2538.11,99.78,100.42,0.97,0
2023-06-10 17:43:19,us east,Compute,8455.8,10000,4058.79,99.91,120.46,0.8,0
2023-07-24 17:34:16,europe north,Compute,8228.33,10000,3949.6,99.61,,1.16,0
2023-06-19 15:55:55,us west,Storage,7003.62,8000,2241.16,99.79,104.22,0.84,1
2023-01-12 15:02:22,us east,Storage,7092.04,8000,,99.36,90.35,1.18,0
2023-09-27 16:16:20,us-west,Storage,7772.51,8000,2487.2,99.35,129.42,1.28,0
2023-10-21 06:02:49,Us-East,Storage,3504.19,8000,1121.34,99.65,106.4,0.82,0
2023-04-03 12:36:10,Europe-North,Storage,11841.76,8000,3789.36,99.77,127.44,1.08,0
2023-06-17 02:37:56,europe north,Storage,9995.37,8000,3198.52,99.5,120.09,1.23,0
2023-02-27 02:06:04,Europe-North,Storage,8101.93,8000,2592.62,99.45,101.44,1.03,0
2023-07-19 16:15:36,us east,Storage,9617.35,8000,,99.33,115.9,1.24,1
2024-01-29 15:20:21,india south,Storage,5785.26,8000,1851.28,99.69,94.65,0.86,0
2024-01-16 13:39:19,europe-north,Storage,11806.68,8000,3778.14,99.77,116.06,1.28,1
2023-11-24 18:03:35,india-south,Compute,4916.57,10000,2359.96,99.87,90.95,0.8,0
2023-05-09 06:15:36,Us-East,Storage,10254.73,8000,3281.51,99.8,118.77,1.1,0
2023-10-02 06:24:51,europe-north,Storage,3671.35,8000,1174.83,99.32,96.81,0.75,0
2024-03-16 08:51:40,Europe-North,Storage,14408.69,8000,4610.78,99.54,121.99,1.33,1
2023-07-02 13:33:30,us west,Compute,13166.92,10000,6320.12,99.37,109.35,1.28,1
2024-02-18 08:14:28,europe north,Compute,9896.07,10000,4750.11,99.86,92.44,0.91,1
2023-01-02 11:27:57,us west,Compute,11378.04,10000,,99.83,100.98,,0
2023-09-18 08:08:09,us east,Storage,5435.55,8000,1739.38,99.34,123.34,0.96,1
2023-09-09 13:30:27,india-south,Storage,6601.56,8000,2112.5,99.68,107.0,1.35,0
2024-02-27 01:21:16,europe-north,Compute,12453.53,10000,5977.69,99.7,101.0,1.11,0
2024-01-12 19:48:58,Europe-North,Storage,6949.9,8000,2223.97,99.91,99.32,1.01,0
2023-05-22 15:43:28,us east,Compute,10026.76,10000,4812.85,99.8,98.23,1.08,0
2023-06-12 06:52:32,us-west,Storage,5076.67,8000,1624.54,99.99,95.59,0.8,0
2023-07-17 10:51:49,us west,Compute,6586.66,10000,3161.6,99.86,115.96,0.76,0
2024-03-01 23:09:02,india south,Storage,9504.51,8000,3041.44,99.42,109.3,1.11,0
2023-03-18 20:29:33,us-east,Storage,10901.23,8000,3488.39,99.76,125.46,1.06,0
2024-02-05 09:54:43,us east,Storage,7361.69,8000,2355.74,99.33,107.02,0.86,0
2023-06-14 05:19:47,us west,Storage,5844.8,8000,1870.34,99.8,108.1,0.77,0
2024-01-18 17:03:57,india south,Storage,6553.67,8000,2097.17,99.68,,0.97,0
2024-02-23 20:40:43,europe north,Compute,14365.04,10000,6895.22,99.86,113.8,1.25,0
2023-08-06 03:25:02,us-west,Storage,8201.61,8000,2624.52,99.79,110.24,1.34,0
2024-03-21 16:37:26,US-West,Storage,9167.06,8000,,99.93,95.21,1.16,0
2023-04-04 06:57:01,Europe-North,Compute,17677.57,10000,8485.23,99.36,112.97,1.29,1
2024-02-04 15:08:23,us west,Compute,7353.03,10000,3529.45,99.46,91.42,0.83,0
2024-01-18 05:41:06,india-south,Storage,8795.96,8000,2814.71,99.68,122.87,1.03,0
2023-12-02 05:28:01,Europe-North,Compute,8371.86,10000,4018.49,99.5,99.14,1.13,0
2023-06-22 21:29:01,europe-north,Storage,6955.58,8000,2225.78,99.38,110.51,0.93,0
2023-02-25 19:27:02,US-West,Storage,11907.64,8000,3810.44,99.83,117.46,1.2,0
2023-06-23 17:14:37,us-east,Compute,,10000,4694.81,99.86,98.79,1.05,0
2024-01-10 04:11:00,europe-north,Compute,10726.11,10000,5148.53,99.65,93.16,1.31,0
2024-02-02 05:39:04,india-south,Compute,11158.85,10000,5356.25,99.71,93.16,1.14,0
2023-05-11 10:21:16,us west,Storage,,8000,2301.15,99.41,116.47,0.79,0
2023-12-22 15:38:06,india south,Storage,6848.35,8000,2191.47,99.38,128.63,0.87,0
2024-02-17 18:55:14,us-east,Compute,12610.24,10000,6052.91,99.97,101.11,1.14,0
2023-12-14 17:15:51,Us-East,Storage,7266.85,8000,2325.39,99.74,95.71,1.13,1
2023-12-23 12:01:54,india south,Storage,9772.9,8000,3127.33,99.65,112.71,1.33,1
2023-06-05 17:31:27,India-South,Storage,11715.36,8000,3748.92,99.77,124.3,1.23,1
2023-08-03 17:28:31,us east,Compute,,10000,3267.84,99.62,102.43,1.01,0
2023-11-03 00:35:51,us-east,Compute,5797.65,10000,2782.87,99.32,109.9,0.75,0
2023-11-03 17:42:52,India-South,Storage,5531.03,8000,1769.93,99.88,102.9,1.05,0
2023-05-02 05:10:24,US-West,Storage,5690.9,8000,1821.09,99.52,90.02,0.79,0
2023-10-31 16:07:45,europe-north,Storage,3353.34,8000,1073.07,99.6,110.13,0.76,0
2024-03-20 14:38:06,europe north,Storage,9496.2,8000,3038.78,99.45,100.02,1.17,0
2023-07-17 19:40:25,Europe-North,Storage,4998.13,8000,1599.4,99.79,113.8,0.76,0
2023-02-27 01:27:58,US-West,Compute,8453.03,10000,4057.46,99.31,,0.89,0
2023-10-10 06:01:06,us-west,Compute,5842.56,10000,2804.43,99.71,108.09,0.9,0
2024-02-05 04:36:07,europe north,Compute,8337.04,10000,4001.78,99.96,94.75,0.92,0
2023-08-12 02:39:49,US-West,Compute,9870.8,10000,4737.98,99.73,123.31,1.12,1
2023-02-18 16:54:08,us west,Storage,8656.73,8000,2770.15,99.94,106.67,1.05,0
